supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
TT	typical	-40	min	min	-1.32571152e-04	-4.61189105e-05	-3.94312930e-05	-5.28145148e-05	7.46768798e+03	7.51318703e+03	7.47204237e+03	9.89077180e-01	9.22820482e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	min	max	-1.59868778e-04	-5.58022624e-05	-4.90726344e-05	-6.25395787e-05	7.43109454e+03	7.45131079e+03	7.42558949e+03	1.18705583e+00	9.44174172e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	max	min	-1.32619151e-04	-4.61151323e-05	-3.94236584e-05	-5.28119026e-05	7.46498522e+03	7.51380259e+03	7.46923928e+03	9.88836698e-01	1.16330153e-03	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	max	max	-1.59916754e-04	-5.57752975e-05	-4.90336066e-05	-6.25266130e-05	7.42886516e+03	7.45491318e+03	7.41124675e+03	1.18680654e+00	1.19346263e-03	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	nom	nom	-1.47614347e-04	-5.13878009e-05	-4.46797186e-05	-5.81037079e-05	7.45185021e+03	7.49205052e+03	7.44935038e+03	1.09894334e+00	1.05666202e-03	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	125	min	min	-2.90220886e-04	-1.07822235e-04	-9.57784923e-05	-1.19205206e-04	3.41119487e+03	3.21362288e+03	4.26863107e+03	9.63535456e-01	2.64645445e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	min	max	-3.48569150e-04	-1.37972434e-04	-1.25400777e-04	-1.50379696e-04	3.40821900e+03	3.01364547e+03	4.00337579e+03	1.16330548e+00	2.46945221e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	max	min	-2.90315454e-04	-1.07607244e-04	-9.52831442e-05	-1.19120294e-04	3.41008371e+03	3.22004345e+03	4.19513238e+03	9.60806851e-01	2.91931493e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	max	max	-3.48663536e-04	-1.36586581e-04	-1.23400644e-04	-1.49615021e-04	3.40729637e+03	3.04422293e+03	3.81470050e+03	1.16092604e+00	2.70739570e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	nom	nom	-3.21484705e-04	-1.23262145e-04	-1.10570160e-04	-1.35592383e-04	3.42162468e+03	3.12342446e+03	3.99644747e+03	1.07316870e+00	2.68312973e-02	1.25000000e+02	1.00000000e+00																																																																																									
FSG	typical	-40	min	min	-1.32934554e-04	-4.62290228e-05	-3.95202486e-05	-5.29450400e-05	7.44727365e+03	7.49529147e+03	7.44890532e+03	9.88429229e-01	1.57077050e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FSG	typical	-40	min	max	-1.61239971e-04	-5.66872863e-05	-4.98657504e-05	-6.35188502e-05	7.36790011e+03	7.33497804e+03	7.32434404e+03	1.18651981e+00	1.48018933e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FSG	typical	-40	max	min	-1.32990937e-04	-4.62238423e-05	-3.95078147e-05	-5.29425073e-05	7.44411628e+03	7.49613150e+03	7.44341555e+03	9.87765305e-01	2.23469524e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FSG	typical	-40	max	max	-1.61296327e-04	-5.66462512e-05	-4.98014783e-05	-6.34992580e-05	7.36532579e+03	7.34029157e+03	7.30045322e+03	1.18585914e+00	2.14086335e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FSG	typical	-40	nom	nom	-1.48264352e-04	-5.17044661e-05	-4.49523512e-05	-5.84616027e-05	7.41918056e+03	7.44616528e+03	7.40233462e+03	1.09815430e+00	1.84570463e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FSG	typical	125	min	min	-3.33418645e-04	-1.19227309e-04	-1.06305824e-04	-1.31157654e-04	2.96924007e+03	2.90621339e+03	4.02384842e+03	9.59855291e-01	3.01447093e-02	1.25000000e+02	1.00000000e+00																																																																																									
FSG	typical	125	min	max	-4.04948083e-04	-1.57441967e-04	-1.43910606e-04	-1.70609972e-04	2.93370941e+03	2.64097310e+03	3.74540722e+03	1.16120500e+00	2.67949954e-02	1.25000000e+02	1.00000000e+00																																																																																									
FSG	typical	125	max	min	-3.33527121e-04	-1.18915953e-04	-1.05574941e-04	-1.31034726e-04	2.96827435e+03	2.91382266e+03	3.92776291e+03	9.56051614e-01	3.39483863e-02	1.25000000e+02	1.00000000e+00																																																																																									
FSG	typical	125	max	max	-4.05056254e-04	-1.55348563e-04	-1.40860920e-04	-1.69470475e-04	2.93292595e+03	2.67656161e+03	3.49533575e+03	1.15799307e+00	3.00069293e-02	1.25000000e+02	1.00000000e+00																																																																																									
FSG	typical	125	nom	nom	-3.70320949e-04	-1.37865289e-04	-1.24090808e-04	-1.51009592e-04	2.97039636e+03	2.79258109e+03	3.71487806e+03	1.06981663e+00	3.01833696e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	-40	min	min	-1.32481610e-04	-4.61326982e-05	-3.94488964e-05	-5.28222445e-05	7.47273527e+03	7.51094156e+03	7.47755904e+03	9.89381025e-01	6.18974844e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	-40	min	max	-1.61311307e-04	-5.69237662e-05	-5.00800843e-05	-6.37824791e-05	7.36464185e+03	7.30450614e+03	7.29799438e+03	1.18737748e+00	6.22522609e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	-40	max	min	-1.32522403e-04	-4.61299307e-05	-3.94436151e-05	-5.28198345e-05	7.47043500e+03	7.51139217e+03	7.47595394e+03	9.88961671e-01	1.03832857e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	-40	max	max	-1.61352079e-04	-5.68998963e-05	-5.00399051e-05	-6.37724268e-05	7.36278089e+03	7.30757044e+03	7.28198376e+03	1.18696860e+00	1.03139507e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	-40	nom	nom	-1.47939144e-04	-5.17069829e-05	-4.49687490e-05	-5.84522750e-05	7.43548985e+03	7.44580283e+03	7.41645764e+03	1.09919757e+00	8.02430932e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	125	min	min	-2.66268283e-04	-1.01369352e-04	-8.97990405e-05	-1.12532898e-04	3.71805454e+03	3.41819292e+03	4.39872554e+03	9.65074256e-01	2.49257441e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	min	max	-3.32269552e-04	-1.34283342e-04	-1.21897468e-04	-1.46605197e-04	3.57541036e+03	3.09643767e+03	4.04731653e+03	1.16487420e+00	2.31258022e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	max	min	-2.66350871e-04	-1.01211384e-04	-8.94371716e-05	-1.12470210e-04	3.71690168e+03	3.42352792e+03	4.34158952e+03	9.62754956e-01	2.72450436e-02	1.25000000e+02	1.00000000e+00																																																																																									
