supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.675,0.75,0.88; vcc_ff_c#0.675,0.75,0.88; vcc_tt_h#0.675,0.75,0.935; vcc_tt_c#0.69,0.78,0.935; vcc_ss_h#0.69,0.75,0.935; vcc_ss_c#0.69,0.78,0.935
vccana: 0.715,0.75,0.785
vccn: 0.99,1.1,1.188
vcctx: "0.5*vcn","0.5*vcn","0.5*vcn"

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
TT	typical	-40	min	min	-1.33825437e-04	-4.65588602e-05	-3.98271238e-05	-5.32968362e-05	7.39769677e+03	7.44219249e+03	7.42406350e+03	9.89256093e-01	7.43907062e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	min	max	-1.61331848e-04	-5.62392902e-05	-4.94710425e-05	-6.30210854e-05	7.36370414e+03	7.39340768e+03	7.38005039e+03	1.18721965e+00	7.80351410e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	max	min	-1.33992788e-04	-4.65558634e-05	-3.98235729e-05	-5.32943641e-05	7.38845737e+03	7.44267155e+03	7.42346894e+03	9.88874160e-01	1.12584030e-03	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	max	max	-1.61499107e-04	-5.62253377e-05	-4.94447677e-05	-6.30155199e-05	7.35607782e+03	7.39524238e+03	7.36878832e+03	1.18666268e+00	1.33732172e-03	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	nom	nom	-1.49056129e-04	-5.18424407e-05	-4.50918367e-05	-5.86000698e-05	7.37977036e+03	7.42634788e+03	7.40289269e+03	1.09913088e+00	8.69116890e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	125	min	min	-4.33989124e-04	-1.79887729e-04	-1.62669966e-04	-1.97072839e-04	2.28116316e+03	1.92620142e+03	2.90673402e+03	9.79076043e-01	1.09239572e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	min	max	-5.15454814e-04	-2.13852942e-04	-1.96801748e-04	-2.30730926e-04	2.30476070e+03	1.94432677e+03	2.94731565e+03	1.17755810e+00	1.04418978e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	max	min	-4.34831769e-04	-1.80003232e-04	-1.62683017e-04	-1.97228492e-04	2.27674257e+03	1.92496544e+03	2.89473512e+03	9.76900991e-01	1.30990087e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	max	max	-5.16175400e-04	-2.13234081e-04	-1.95467449e-04	-2.30572452e-04	2.30154323e+03	1.94996972e+03	2.84859687e+03	1.17490647e+00	1.30935310e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	nom	nom	-4.81801513e-04	-1.98256213e-04	-1.80616513e-04	-2.15880219e-04	2.28309785e+03	1.94193157e+03	2.83577677e+03	1.08865767e+00	1.13423286e-02	1.25000000e+02	1.00000000e+00																																																																																									
