rail,func_min,perf_min,nom,max,htol,hvqk
vcc,0.63,0.69,0.75,0.795,0.924,1.45
vcc_vid_ff_h,0.63,0.644,0.7,0.742,0.924,1.45
vcc_vid_ff_c,0.63,0.69,0.75,0.795,0.924,1.45
vcc_vid_tt_h,0.63,0.644,0.7,0.742,0.924,1.45
vcc_vid_tt_c,0.63,0.69,0.75,0.795,0.924,1.45
vcc_vid_ss_h,0.63,0.69,0.75,0.795,0.924,1.45
vcc_vid_ss_c,0.63,0.736,0.8,0.848,0.924,1.45
vccana,,0.725,0.75,0.775,,
vccana_0p65v,,0.625,0.65,0.675,,
vcctx_700,,0.675,0.7,0.725,,
vcctx_650,,0.625,0.65,0.675,,
vcctx_600,,0.575,0.6,0.625,,
vcctx_550,,0.525,0.55,0.575,,
vcctx_525,,0.5,0.525,0.55,,
vcctx_500,,0.475,0.5,0.525,,
vcctx_400,,0.388,0.4,0.412,,
1p1v,0.98,1.012,1.1,1.166,1.165,1.165
1p05v,0.935,0.966,1.05,1.113,1.165,1.165
1p0v,0.89,0.92,1,1.06,1.06,1.06
