supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
TT	typical	-40	min	min	-4.47607775e-04	-1.53971710e-04	-1.31643713e-04	-1.76350180e-04	2.21175783e+03	2.25041341e+03	2.23681288e+03	9.89715131e-01	2.84868948e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	min	max	-5.43502871e-04	-1.85868641e-04	-1.63379432e-04	-2.08417327e-04	2.18582102e+03	2.23706375e+03	2.22035245e+03	1.18770034e+00	2.99658994e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	max	min	-4.47655499e-04	-1.53967925e-04	-1.31636035e-04	-1.76347568e-04	2.21152203e+03	2.25046873e+03	2.23655943e+03	9.89640698e-01	3.59301826e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	max	max	-5.43550519e-04	-1.85841625e-04	-1.63340404e-04	-2.08404321e-04	2.18562941e+03	2.23738896e+03	2.21907030e+03	1.18762093e+00	3.79072071e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	-40	nom	nom	-5.00583450e-04	-1.71594838e-04	-1.49175475e-04	-1.94069057e-04	2.19743581e+03	2.24365724e+03	2.22748990e+03	1.09967085e+00	3.29148204e-04	-4.00000000e+01	1.00000000e+00																																																																																									
TT	typical	125	min	min	-6.07844894e-04	-2.16585180e-04	-1.88661577e-04	-2.43944237e-04	1.62870497e+03	1.59983245e+03	1.80888546e+03	9.69501915e-01	2.04980854e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	min	max	-7.34401770e-04	-2.68922728e-04	-2.40414343e-04	-2.97347689e-04	1.61764316e+03	1.54616906e+03	1.75643987e+03	1.16817752e+00	1.98224829e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	max	min	-6.07938973e-04	-2.16369501e-04	-1.88165033e-04	-2.43858920e-04	1.62845293e+03	1.60142718e+03	1.79552921e+03	9.67584084e-01	2.24159165e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	max	max	-7.34495570e-04	-2.67534320e-04	-2.38413085e-04	-2.96580358e-04	1.61743658e+03	1.55419312e+03	1.71917979e+03	1.16641327e+00	2.15867252e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	125	nom	nom	-6.76858564e-04	-2.44358588e-04	-2.15773156e-04	-2.72698793e-04	1.62515488e+03	1.57555338e+03	1.75667776e+03	1.07888333e+00	2.11166658e-02	1.25000000e+02	1.00000000e+00																																																																																									
FSG	typical	-40	min	min	-4.47730302e-04	-1.54005440e-04	-1.31666917e-04	-1.76393268e-04	2.21115255e+03	2.24992052e+03	2.23581845e+03	9.89505090e-01	4.94909700e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FSG	typical	-40	min	max	-5.44692270e-04	-1.86683655e-04	-1.64111406e-04	-2.09318263e-04	2.18104803e+03	2.22729730e+03	2.21205380e+03	1.18749366e+00	5.06341214e-04	-4.00000000e+01	1.00000000e+00																																																																																									
